Device_id,Model Name,Model ID,Fusion Op,Original Ops,Memory Input(KB),Memory Output(KB),Memory Weight(KB),Memory Workspace(KB),Memory Total(KB)
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/m.0/m/m.1/cv2/conv/Conv/model.22/m.0/m/m.1/cv2/act/Sigmoid/model.22/m.0/m/m.1/cv2/act/Mul,/model.22/m.0/m/m.1/cv2/conv/Conv;/model.22/m.0/m/m.1/cv2/act/Sigmoid;/model.22/m.0/m/m.1/cv2/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/m.0/cv2/conv/Conv/model.22/m.0/cv2/act/Sigmoid/model.22/m.0/cv2/act/Mul,/model.22/m.0/cv2/conv/Conv;/model.22/m.0/cv2/act/Sigmoid;/model.22/m.0/cv2/act/Mul,116.21875,50.03125,16.1875,0.0,182.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/m.0/cv3/conv/Conv/model.22/m.0/cv3/act/Sigmoid/model.22/m.0/cv3/act/Mul,/model.22/m.0/cv3/conv/Conv;/model.22/m.0/cv3/act/Sigmoid;/model.22/m.0/cv3/act/Mul,132.34375,100.03125,32.3125,0.0,264.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/cv2/conv/Conv/model.22/cv2/act/Sigmoid/model.22/cv2/act/Mul,/model.22/cv2/conv/Conv;/model.22/cv2/act/Sigmoid;/model.22/cv2/act/Mul,492.59375,200.03125,192.5625,0.0,885.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.23/cv2.2/cv2.2.0/conv/Conv/model.23/cv2.2/cv2.2.0/act/Sigmoid/model.23/cv2.2/cv2.2.0/act/Mul,/model.23/cv2.2/cv2.2.0/conv/Conv;/model.23/cv2.2/cv2.2.0/act/Sigmoid;/model.23/cv2.2/cv2.2.0/act/Mul,488.21875,50.03125,288.1875,0.0,826.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.23/cv2.2/cv2.2.1/conv/Conv/model.23/cv2.2/cv2.2.1/act/Sigmoid/model.23/cv2.2/cv2.2.1/act/Mul,/model.23/cv2.2/cv2.2.1/conv/Conv;/model.23/cv2.2/cv2.2.1/act/Sigmoid;/model.23/cv2.2/cv2.2.1/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.23/cv2.2/cv2.2.2/Conv,/model.23/cv2.2/cv2.2.2/Conv,58.21875,50.03125,8.1875,0.0,116.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.23/cv4.2/cv4.2.0/conv/Conv/model.23/cv4.2/cv4.2.0/act/Sigmoid/model.23/cv4.2/cv4.2.0/act/Mul,/model.23/cv4.2/cv4.2.0/conv/Conv;/model.23/cv4.2/cv4.2.0/act/Sigmoid;/model.23/cv4.2/cv4.2.0/act/Mul,488.21875,50.03125,288.1875,0.0,826.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.23/cv4.2/cv4.2.1/conv/Conv/model.23/cv4.2/cv4.2.1/act/Sigmoid/model.23/cv4.2/cv4.2.1/act/Mul,/model.23/cv4.2/cv4.2.1/conv/Conv;/model.23/cv4.2/cv4.2.1/act/Sigmoid;/model.23/cv4.2/cv4.2.1/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.23/cv4.2/cv4.2.2/Conv,/model.23/cv4.2/cv4.2.2/Conv,58.21875,50.03125,8.1875,0.0,116.4375
